ts_code,name,industry,list_date
000572.SZ,海马汽车,汽车整车,19940808
000573.SZ,粤宏远Ａ,区域地产,19940815
000576.SZ,甘化科工,电气设备,19940907
000581.SZ,威孚高科,汽车配件,19980924
000582.SZ,北部湾港,港口,19951102
000586.SZ,汇源通信,通信设备,19951220
000589.SZ,贵州轮胎,汽车配件,19960308
000590.SZ,古汉医药,中成药,19960119
000591.SZ,太阳能,新型电力,19960208
000592.SZ,平潭发展,林业,19960327
000593.SZ,德龙汇能,供气供热,19960312
000595.SZ,*ST宝实,新型电力,19960419
000596.SZ,古井贡酒,白酒,19960927
000597.SZ,东北制药,化学制药,19960523
000598.SZ,兴蓉环境,水务,19960529
000599.SZ,青岛双星,汽车配件,19960430
000600.SZ,建投能源,火力发电,19960606
000601.SZ,韶能股份,水力发电,19960830
000603.SZ,盛达资源,铅锌,19960823
000605.SZ,渤海股份,水务,19960913
000607.SZ,华媒控股,广告包装,19960830
000608.SZ,阳光股份,区域地产,19960919
000609.SZ,*ST中迪,区域地产,19961010
000610.SZ,*ST西旅,旅游服务,19960926
000612.SZ,焦作万方,铝,19960926
000615.SZ,*ST美谷,医疗保健,19961016
000617.SZ,中油资本,多元金融,19961022
000619.SZ,海螺新材,其他建材,19961023
000620.SZ,盈新发展,全国地产,19961029
000623.SZ,吉林敖东,中成药,19961028
000625.SZ,长安汽车,汽车整车,19970610
000626.SZ,远大控股,商贸代理,19961128
000628.SZ,高新发展,建筑工程,19961118
000629.SZ,钒钛股份,小金属,19961115
000630.SZ,铜陵有色,铜,19961120
000631.SZ,顺发恒能,综合类,19961122
000632.SZ,ST三木,综合类,19961121
000633.SZ,合金投资,小金属,19961112
000635.SZ,英力特,化工原料,19961120
000636.SZ,风华高科,元器件,19961129
000637.SZ,茂化实华,石油加工,19961114
000639.SZ,ST西王,食品,19961126
000650.SZ,仁和药业,中成药,19961210
000651.SZ,格力电器,家用电器,19961118
000652.SZ,泰达股份,批发业,19961128
000655.SZ,金岭矿业,普钢,19961128
000656.SZ,*ST金科,全国地产,19961128
000657.SZ,中钨高新,小金属,19961205
000659.SZ,珠海中富,广告包装,19961203
000661.SZ,长春高新,生物制药,19961218
000663.SZ,永安林业,林业,19961206
000665.SZ,湖北广电,影视音像,19961210
000668.SZ,荣丰控股,房产服务,19961210
000669.SZ,ST金鸿,供气供热,19961210
000670.SZ,盈方微,元器件,19961217
000672.SZ,上峰材料,水泥,19961218
000676.SZ,智度股份,互联网,19961224
000677.SZ,ST海龙,化纤,19961226
000678.SZ,襄阳轴承,汽车配件,19970106
000679.SZ,大连友谊,百货,19970124
000680.SZ,山推股份,工程机械,19970122
000681.SZ,视觉中国,互联网,19970121
000682.SZ,东方电子,电气设备,19970121
000683.SZ,博源化工,化工原料,19970131
000685.SZ,中山公用,水务,19970123
000686.SZ,东北证券,证券,19970227
000688.SZ,国城矿业,铅锌,19970120
000690.SZ,宝新能源,火力发电,19970128
000691.SZ,亚太实业,化工原料,19970228
000692.SZ,惠天热电,供气供热,19970227
000695.SZ,滨海能源,化工原料,19970218
001696.SZ,宗申动力,摩托车,19970306
000697.SZ,炼石航空,航空,19970325
000698.SZ,ST沈化,石油加工,19970220
000700.SZ,模塑科技,汽车配件,19970228
000701.SZ,厦门信达,商贸代理,19970226
